item_id,tax_year,category,source_name,document_name,period_start,period_end,required_level,status,folder_path,expected_filename,assigned_to,due_date,accountant_note,internal_note
TAX-2025-011,2025,매출자료,메이크샵,자사몰 주문매출·취소·환불 자료,2025-01-01,2025-12-31,필수,NOT_STARTED,03_매출자료,2025_메이크샵_주문매출취소환불_연간.xlsx,김도현님,2026-04-30,주문일·결제일·정산일 기준 확인,
TAX-2025-012,2025,매출자료,PG사,PG 결제·정산·수수료 내역,2025-01-01,2025-12-31,필수,NOT_STARTED,03_매출자료,2025_PG_결제정산수수료_연간.xlsx,김도현님,2026-04-30,PG 정산액과 은행 입금액 차이 기준 확인,
TAX-2025-013,2025,매출자료,스마트스토어,주문매출·정산·수수료 자료,2025-01-01,2025-12-31,조건부,NOT_STARTED,03_매출자료,2025_스마트스토어_매출정산수수료_연간.xlsx,김도현님,2026-04-30,사용 여부와 제출 범위 확인,해당 없으면 NOT_APPLICABLE 사유 기록
TAX-2025-014,2025,매출자료,쿠팡,주문매출·정산·수수료 자료,2025-01-01,2025-12-31,조건부,NOT_STARTED,03_매출자료,2025_쿠팡_매출정산수수료_연간.xlsx,김도현님,2026-04-30,사용 여부와 제출 범위 확인,해당 없으면 NOT_APPLICABLE 사유 기록
TAX-2025-015,2025,매출자료,카카오/기타 플랫폼,주문매출·정산·수수료 자료,2025-01-01,2025-12-31,조건부,NOT_STARTED,03_매출자료,2025_기타플랫폼_매출정산수수료_연간.xlsx,김도현님,2026-04-30,사용 플랫폼 목록 확인,
TAX-2025-016,2025,비용증빙,홈택스,전자세금계산서 매입,2025-01-01,2025-12-31,필수,NOT_STARTED,04_비용증빙,2025_홈택스_전자세금계산서_매입_연간.xlsx,박서연님,2026-04-29,,
TAX-2025-017,2025,비용증빙,홈택스,전자계산서 매입,2025-01-01,2025-12-31,권장,NOT_STARTED,04_비용증빙,2025_홈택스_전자계산서_매입_연간.xlsx,박서연님,2026-04-29,해당 여부 확인,
TAX-2025-018,2025,비용증빙,홈택스,현금영수증 지출증빙,2025-01-01,2025-12-31,필수,NOT_STARTED,04_비용증빙,2025_홈택스_현금영수증_지출증빙_연간.xlsx,박서연님,2026-04-29,,
TAX-2025-019,2025,비용증빙,홈택스,사업용 신용카드 사용내역,2025-01-01,2025-12-31,필수,NOT_STARTED,04_비용증빙,2025_홈택스_사업용신용카드_사용내역_연간.xlsx,박서연님,2026-04-29,전자세금계산서 중복 처리 기준 확인,
TAX-2025-020,2025,비용증빙,카드사,카드사별 사업용 카드 사용내역,2025-01-01,2025-12-31,필수,NOT_STARTED,04_비용증빙,2025_카드사별_사업용카드_사용내역_연간.xlsx,박서연님,2026-04-30,사업용카드 등록 누락 카드 여부 확인,카드포인트 조회로 카드사 누락 점검
TAX-2025-021,2025,비용증빙,카드사,개인카드 사업 관련 사용내역 표시본,2025-01-01,2025-12-31,조건부,NOT_STARTED,04_비용증빙,2025_개인카드_사업관련사용내역_연간.xlsx,박서연님,2026-04-30,개인카드 사업 관련분 처리 기준 확인,개인 소비와 분리 메모 필요
TAX-2025-022,2025,비용증빙,은행,사업용 계좌 거래내역,2025-01-01,2025-12-31,필수,NOT_STARTED,04_비용증빙,2025_은행별_사업용계좌_거래내역_연간.xlsx,박서연님,2026-04-30,계좌 누락 여부와 개인계좌 사업거래 처리 확인,계좌정보통합관리로 누락 계좌 점검
TAX-2025-023,2025,비용증빙,은행,사업용 계좌 통장사본 묶음,2025-01-01,2025-12-31,권장,NOT_STARTED,04_비용증빙,2025_은행별_사업용계좌_통장사본.pdf,박서연님,2026-04-30,계좌 전체번호 노출 범위 확인,
TAX-2025-024,2025,비용증빙,은행,개인계좌 사업 관련 거래 메모,2025-01-01,2025-12-31,조건부,NOT_STARTED,04_비용증빙,2025_개인계좌_사업관련거래_메모.xlsx,박서연님,2026-04-30,개인계좌 사업거래 처리 기준 확인,개인자료 최소화
TAX-2025-025,2025,비용증빙,광고 플랫폼,광고비 지출내역,2025-01-01,2025-12-31,조건부,NOT_STARTED,04_비용증빙,2025_광고플랫폼_광고비_연간.xlsx,김도현님,2026-04-30,광고비 증빙 인정 형태 확인,
TAX-2025-026,2025,비용증빙,택배/물류,배송비·물류비 지출내역,2025-01-01,2025-12-31,조건부,NOT_STARTED,04_비용증빙,2025_택배물류_배송비물류비_연간.xlsx,김도현님,2026-04-30,정산자료와 비용증빙 연결 기준 확인,
TAX-2025-027,2025,비용증빙,임대인/관리비,임차료·관리비 증빙,2025-01-01,2025-12-31,조건부,NOT_STARTED,04_비용증빙,2025_임차료관리비_증빙_연간.pdf,박서연님,2026-04-30,계약서/세금계산서/송금내역 중 제출 범위 확인,
TAX-2025-028,2025,비용증빙,통신/공과금,통신비·공과금 증빙,2025-01-01,2025-12-31,조건부,NOT_STARTED,04_비용증빙,2025_통신공과금_증빙_연간.pdf,박서연님,2026-04-30,사업 사용분 안분 기준 확인,
TAX-2025-029,2025,공제자료,홈택스,연말정산 간소화 PDF,2025-01-01,2025-12-31,권장,NOT_STARTED,05_공제자료,2025_홈택스_연말정산간소화_연간.pdf,대표/박서연님,2026-05-01,대표 개인 공제자료 제출 범위 확인,개인 민감자료 최소화
TAX-2025-030,2025,공제자료,내보험찾아줌/보험사,보험료 납입증명 및 보험계약 목록,2025-01-01,2025-12-31,조건부,NOT_STARTED,05_공제자료,2025_보험_보험료납입증명_연간.pdf,대표/박서연님,2026-05-01,공제 가능 보험료 범위 확인,내보험찾아줌은 누락 보험 확인용
TAX-2025-031,2025,공제자료,금융기관,연금저축·IRP 납입증명,2025-01-01,2025-12-31,조건부,NOT_STARTED,05_공제자료,2025_연금저축IRP_납입증명_연간.pdf,대표/박서연님,2026-05-01,공제 가능 범위 확인,
TAX-2025-032,2025,공제자료,홈택스/기관별,의료비·교육비·기부금 자료,2025-01-01,2025-12-31,조건부,NOT_STARTED,05_공제자료,2025_공제자료_의료교육기부금_연간.pdf,대표/박서연님,2026-05-01,부양가족·공제 가능 여부 확인,세무사 판단 필요
TAX-2025-033,2025,공제자료,정부24/가족관계,가족관계·부양가족 관련 서류,2025-01-01,2025-12-31,조건부,NOT_STARTED,05_공제자료,2025_정부24_가족관계부양가족_확인서류.pdf,대표/박서연님,2026-05-01,제출 필요 여부와 개인정보 범위 확인,필요 시에만 수집
TAX-2025-034,2025,세금신고이력,홈택스,2025년 부가세 1기 신고서·납부서,2025-01-01,2025-06-30,필수,NOT_STARTED,06_세금신고이력,2025_홈택스_부가세1기_신고납부내역.pdf,박서연님,2026-05-01,,
TAX-2025-035,2025,세금신고이력,홈택스,2025년 부가세 2기 신고서·납부서,2025-07-01,2025-12-31,필수,NOT_STARTED,06_세금신고이력,2025_홈택스_부가세2기_신고납부내역.pdf,박서연님,2026-05-01,,
TAX-2025-036,2025,세금신고이력,홈택스,2025년 원천세 신고서·납부내역,2025-01-01,2025-12-31,조건부,NOT_STARTED,06_세금신고이력,2025_홈택스_원천세_신고납부내역_연간.pdf,박서연님,2026-05-01,원천세 신고 대상 여부 확인,
TAX-2025-037,2025,세금신고이력,홈택스/정부24,국세·지방세 납부내역,2025-01-01,2025-12-31,권장,NOT_STARTED,06_세금신고이력,2025_국세지방세_납부내역_연간.pdf,박서연님,2026-05-01,,
TAX-2025-038,2025,세금신고이력,홈택스,종합소득세 중간예납 내역,2025-01-01,2025-12-31,조건부,NOT_STARTED,06_세금신고이력,2025_홈택스_종합소득세중간예납_내역.pdf,박서연님,2026-05-01,중간예납 해당 여부 확인,
TAX-2025-039,2025,통관관세,UNI-PASS/관세사,화물관리번호·BL 목록,2025-01-01,2025-12-31,조건부,NOT_STARTED,07_통관관세,2025_UNIPASS_화물관리번호BL목록_연간.xlsx,김도현님,2026-05-02,수입 거래 존재 여부 확인,최민석님 자동화 후보 기록
TAX-2025-040,2025,통관관세,UNI-PASS/관세사,수입신고번호 목록,2025-01-01,2025-12-31,조건부,NOT_STARTED,07_통관관세,2025_UNIPASS_수입신고번호목록_연간.xlsx,김도현님,2026-05-02,API049 단건 조회용 번호 확보,
TAX-2025-041,2025,통관관세,UNI-PASS,수입제세 납부확인 자료,2025-01-01,2025-12-31,조건부,NOT_STARTED,07_통관관세,2025_UNIPASS_수입제세납부확인_연간.pdf,김도현님,2026-05-02,관세·수입부가세 처리 기준 확인,
TAX-2025-042,2025,통관관세,관세사/거래처,수입 관련 인보이스·패킹리스트·관세 증빙,2025-01-01,2025-12-31,조건부,NOT_STARTED,07_통관관세,2025_관세사_수입관련증빙_연간.zip,김도현님,2026-05-02,매입/재고/관세 연결 기준 확인,
TAX-2025-043,2025,급여4대보험,내부 급여자료,급여대장,2025-01-01,2025-12-31,조건부,NOT_STARTED,08_급여4대보험,2025_내부_급여대장_연간.xlsx,박서연님,2026-05-02,급여 지급 및 원천세 연결 확인,
TAX-2025-044,2025,급여4대보험,사회보험통합징수포털,4대보험 납부확인서·완납증명서,2025-01-01,2025-12-31,조건부,NOT_STARTED,08_급여4대보험,2025_사회보험_납부확인완납증명_연간.pdf,박서연님,2026-05-02,사업장 가입/납부 범위 확인,
TAX-2025-045,2025,급여4대보험,홈택스/내부자료,프리랜서·외주비 원천징수 자료,2025-01-01,2025-12-31,조건부,NOT_STARTED,08_급여4대보험,2025_프리랜서외주비_원천징수자료_연간.xlsx,박서연님,2026-05-02,3.3% 원천징수와 지급명세서 제출 여부 확인,계약서/송금내역 포함 여부 확인
TAX-2025-046,2025,급여4대보험,내부자료,외주 계약서·송금내역 묶음,2025-01-01,2025-12-31,조건부,NOT_STARTED,08_급여4대보험,2025_외주계약송금내역_연간.zip,박서연님,2026-05-02,비용 처리와 원천징수 기준 확인,
TAX-2025-047,2025,설명메모,내부자료,큰 금액 입출금 설명 메모,2025-01-01,2025-12-31,필수,NOT_STARTED,09_설명메모,2025_내부_큰금액입출금_설명메모.xlsx,윤하늘님,2026-05-04,대표 자금·대출·보증금·가족 간 이체 처리 확인,자동 결론 금지
TAX-2025-048,2025,설명메모,내부자료,개인/사업 혼합 지출 설명 메모,2025-01-01,2025-12-31,필수,NOT_STARTED,09_설명메모,2025_내부_개인사업혼합지출_설명메모.xlsx,윤하늘님,2026-05-04,사업 관련성 판단 기준 확인,
TAX-2025-049,2025,설명메모,내부자료,대출·보증금·자본거래 메모,2025-01-01,2025-12-31,조건부,NOT_STARTED,09_설명메모,2025_내부_대출보증금자본거래_메모.xlsx,윤하늘님,2026-05-04,소득/비용 아님을 설명할 자료 확인,
TAX-2025-050,2025,확인필요,내부자료,누락 의심 자료 목록,2025-01-01,2025-12-31,필수,NOT_STARTED,90_확인필요,2025_내부_누락의심자료목록_연간.xlsx,윤하늘님,2026-05-04,미수집 항목별 대체 제출 가능 여부 확인,scan 결과 반영
TAX-2025-051,2025,확인필요,내부자료,세무사 확인 질문 목록,2025-01-01,2025-12-31,필수,NOT_STARTED,90_확인필요,2025_세무사_확인질문목록_연간.xlsx,윤하늘님,2026-05-04,질문별 답변/증빙 연결,ACCOUNTANT_REVIEW 항목 모음
TAX-2025-052,2025,세무사전달,자동생성,세무사 전달 manifest 초안,2025-01-01,2025-12-31,필수,NOT_STARTED,00_manifest,2025_세무사전달_manifest_초안.csv,윤하늘님,2026-05-06,세무사에게 전달 전 파일 목록 확인,CLI scan 결과에서 생성
TAX-2025-053,2025,비용증빙,은행/금융기관,대출금이자납입내역,2025-01-01,2025-12-31,필수,NOT_STARTED,04_비용증빙,2025_은행_대출금이자납입내역_연간.pdf,박서연님,2026-04-30,세무사 결산요청자료 원문 2,대출 원금 상환과 이자 비용을 구분해 세무사 확인
TAX-2025-054,2025,통관관세,관세사/UNI-PASS,수입신고필증·수입정산서,2025-01-01,2025-12-31,필수,NOT_STARTED,07_통관관세,2025_관세사UNIPASS_수입신고필증수입정산서_연간.zip,김도현님,2026-05-02,세무사 결산요청자료 원문 3,수입신고번호 목록과 UNI-PASS API049 dry-run 후보로 연결
TAX-2025-055,2025,비용증빙,전기요금/공과금 포털,전기요금납부내역서,2025-01-01,2025-12-31,필수,NOT_STARTED,04_비용증빙,2025_전기요금_납부내역서_연간.pdf,박서연님,2026-04-30,세무사 결산요청자료 원문 4,기존 통신·공과금 증빙에서 전기요금을 별도 필수 항목으로 분리
TAX-2025-056,2025,급여4대보험,퇴직연금 사업자/금융기관,퇴직연금납부내역,2025-01-01,2025-12-31,필수,NOT_STARTED,08_급여4대보험,2025_퇴직연금_납부내역_연간.pdf,박서연님,2026-05-02,세무사 결산요청자료 원문 5,퇴직연금 비용/공제 처리와 직원별 구분은 세무사 확인
TAX-2025-057,2025,비용증빙,보험사,화재보험료납부내역·보험증권,2025-01-01,2025-12-31,필수,NOT_STARTED,04_비용증빙,2025_보험사_화재보험료납부내역보험증권_연간.pdf,박서연님,2026-05-01,세무사 결산요청자료 원문 6 일부,보험료 납부내역과 증권을 함께 보관
TAX-2025-058,2025,비용증빙,보험사,차량보험료납부내역·보험증권,2025-01-01,2025-12-31,필수,NOT_STARTED,04_비용증빙,2025_보험사_차량보험료납부내역보험증권_연간.pdf,박서연님,2026-05-01,세무사 결산요청자료 원문 6 일부,차량 사업 사용분·보험료 처리 기준은 세무사 확인
TAX-2025-059,2025,세금신고이력,위택스/지방세 포털,지방세세목별납부내역,2025-01-01,2025-12-31,필수,NOT_STARTED,06_세금신고이력,2025_위택스_지방세세목별납부내역_연간.pdf,박서연님,2026-05-01,세무사 결산요청자료 원문 7,기존 국세·지방세 납부내역에서 지방세 세목별 자료를 별도 필수 항목으로 분리
TAX-2025-060,2025,공제자료,기부처/홈택스,기부금영수증,2025-01-01,2025-12-31,필수,NOT_STARTED,05_공제자료,2025_기부처_기부금영수증_연간.pdf,대표/박서연님,2026-05-01,세무사 결산요청자료 원문 8,개인/사업 기부금 구분과 공제 가능 여부는 세무사 확인
TAX-2025-061,2025,비용증빙,네이버 광고,네이버광고충전내역,2025-01-01,2025-12-31,필수,NOT_STARTED,04_비용증빙,2025_네이버광고_충전내역_연간.xlsx,김도현님,2026-04-30,세무사 결산요청자료 원문 9,기존 광고비 지출내역에서 네이버 광고 충전내역을 별도 필수 항목으로 분리
